State Code,County Code,2010 Census Tract,GEOID10,Census Tabulation Tract Name,2010 Census name and the translated legal/statistical area description for county,Land Area in Square Meters,Water Area in Square Meters,Planning Districts,Neighborhoods
25,025,091300,25025091300,913,Census Tract 913,"262,560",0,North Dorchester,Dorchester
25,025,091200,25025091200,912,Census Tract 912,"323,612",0,North Dorchester,Dorchester
25,025,091100,25025091100,911,Census Tract 911,"423,899",0,North Dorchester,Dorchester
25,025,090700,25025090700,907,Census Tract 907,"1,072,571",0,North Dorchester,Dorchester
25,025,090901,25025090901,909.01,Census Tract 909.01,"1,173,062","349,466",North Dorchester,Dorchester
25,025,110607,25025110607,1106.07,Census Tract 1106.07,"1,171,287",0,Roslindale,Roslindale
25,025,110502,25025110502,1105.02,Census Tract 1105.02,"684,298",0,Roslindale,Roslindale
25,025,110501,25025110501,1105.01,Census Tract 1105.01,"647,848",0,Roslindale,Roslindale
25,025,110401,25025110401,1104.01,Census Tract 1104.01,"522,448",0,Roslindale,Roslindale
25,025,110403,25025110403,1104.03,Census Tract 1104.03,"942,869","7,697",Roslindale,Roslindale
25,025,110201,25025110201,1102.01,Census Tract 1102.01,"348,208",0,Roslindale,Roslindale
25,025,110103,25025110103,1101.03,Census Tract 1101.03,"935,088",0,Roslindale,Jamaica Plain
25,025,110301,25025110301,1103.01,Census Tract 1103.01,"817,929",0,Roslindale,Roslindale
25,025,140106,25025140106,1401.06,Census Tract 1401.06,"279,850","3,116",Roslindale,Roslindale
25,025,980300,25025980300,9803,Census Tract 9803,"2,075,986","27,540",Roxbury,Roxbury
25,025,092400,25025092400,924,Census Tract 924,"594,010",0,Roxbury,Dorchester
25,025,120301,25025120301,1203.01,Census Tract 1203.01,"662,925",0,Roxbury,Jamaica Plain
25,025,090600,25025090600,906,Census Tract 906,"301,664",0,Roxbury,Roxbury
25,025,090400,25025090400,904,Census Tract 904,"425,135",0,Roxbury,Roxbury
25,025,090300,25025090300,903,Census Tract 903,"380,394",0,Roxbury,Dorchester
25,025,090200,25025090200,902,Census Tract 902,"273,671",0,Roxbury,Dorchester
25,025,090100,25025090100,901,Census Tract 901,"446,992",0,Roxbury,Dorchester
25,025,082100,25025082100,821,Census Tract 821,"370,577",0,Roxbury,Roxbury
25,025,082000,25025082000,820,Census Tract 820,"392,158",0,Roxbury,Roxbury
25,025,081900,25025081900,819,Census Tract 819,"433,385",0,Roxbury,Roxbury
25,025,081800,25025081800,818,Census Tract 818,"373,920",0,Roxbury,Roxbury
25,025,081700,25025081700,817,Census Tract 817,"633,564",0,Roxbury,Roxbury
25,025,081500,25025081500,815,Census Tract 815,"336,293",0,Roxbury,Roxbury
25,025,081400,25025081400,814,Census Tract 814,"620,481",0,Roxbury,Roxbury
25,025,081300,25025081300,813,Census Tract 813,"580,338",0,Roxbury,Roxbury
25,025,080601,25025080601,806.01,Census Tract 806.01,"560,163",0,Roxbury,Roxbury
25,025,080401,25025080401,804.01,Census Tract 804.01,"440,468",0,Roxbury,Roxbury
25,025,080300,25025080300,803,Census Tract 803,"268,832",0,Roxbury,Roxbury
25,025,080100,25025080100,801,Census Tract 801,"1,026,391",0,Roxbury,Roxbury
25,025,981201,25025981201,9812.01,Census Tract 9812.01,"786,643","1,328,333",South Boston,South Boston
25,025,061101,25025061101,611.01,Census Tract 611.01,"165,282",0,South Boston,South Boston
25,025,061200,25025061200,612,Census Tract 612,"1,841,489","72,450",South Boston,South Boston
25,025,061000,25025061000,610,Census Tract 610,"173,037",0,South Boston,South Boston
25,025,060800,25025060800,608,Census Tract 608,"341,227",0,South Boston,South Boston
25,025,060700,25025060700,607,Census Tract 607,"128,228",0,South Boston,South Boston
25,025,060301,25025060301,603.01,Census Tract 603.01,"272,518",0,South Boston,South Boston
25,025,060101,25025060101,601.01,Census Tract 601.01,"295,623",0,South Boston,South Boston
25,025,060600,25025060600,606,Census Tract 606,"1,260,969","632,511",South Boston,South Boston Waterfront
25,025,060400,25025060400,604,Census Tract 604,"399,278",0,South Boston,South Boston
25,025,060200,25025060200,602,Census Tract 602,"170,386",0,South Boston,South Boston
25,025,060501,25025060501,605.01,Census Tract 605.01,"411,742",0,South Boston,South Boston
25,025,981202,25025981202,9812.02,Census Tract 9812.02,"1,594,870","933,939",South Boston,South Boston Waterfront
25,025,100800,25025100800,1008,Census Tract 1008,"1,765,783","141,896",South Dorchester,Dorchester
25,025,100601,25025100601,1006.01,Census Tract 1006.01,"552,585",0,South Dorchester,Dorchester
25,025,100500,25025100500,1005,Census Tract 1005,"858,932",0,South Dorchester,Dorchester
25,025,100400,25025100400,1004,Census Tract 1004,"626,173",0,South Dorchester,Dorchester
25,025,092300,25025092300,923,Census Tract 923,"342,974",0,South Dorchester,Dorchester
25,025,092200,25025092200,922,Census Tract 922,"581,304",0,South Dorchester,Dorchester
25,025,092000,25025092000,920,Census Tract 920,"489,737",0,South Dorchester,Dorchester
25,025,091900,25025091900,919,Census Tract 919,"481,985",0,South Dorchester,Dorchester
25,025,091800,25025091800,918,Census Tract 918,"432,061",0,South Dorchester,Dorchester
25,025,091700,25025091700,917,Census Tract 917,"289,325",0,South Dorchester,Dorchester
25,025,091600,25025091600,916,Census Tract 916,"312,698",0,South Dorchester,Dorchester
25,025,100700,25025100700,1007,Census Tract 1007,"1,203,877","173,339",South Dorchester,Dorchester
25,025,100603,25025100603,1006.03,Census Tract 1006.03,"886,469","343,678",South Dorchester,Dorchester
25,025,092101,25025092101,921.01,Census Tract 921.01,"1,291,966","64,101",South Dorchester,Dorchester
25,025,071201,25025071201,712.01,Census Tract 712.01,"402,228",0,South End,South End
25,025,080500,25025080500,805,Census Tract 805,"245,570",0,South End,Roxbury
25,025,071101,25025071101,711.01,Census Tract 711.01,"362,769",0,South End,South End
25,025,070900,25025070900,709,Census Tract 709,"167,469",0,South End,South End
25,025,070800,25025070800,708,Census Tract 708,"194,390",0,South End,South End
25,025,070700,25025070700,707,Census Tract 707,"164,131",0,South End,South End
25,025,070600,25025070600,706,Census Tract 706,"132,532",0,South End,South End
25,025,070500,25025070500,705,Census Tract 705,"297,278",0,South End,South End
25,025,070402,25025070402,704.02,Census Tract 704.02,"267,664","10,223",South End,South End
25,025,130402,25025130402,1304.02,Census Tract 1304.02,"2,103,293","169,597",West Roxbury,West Roxbury
25,025,130300,25025130300,1303,Census Tract 1303,"1,442,181",0,West Roxbury,West Roxbury
25,025,130200,25025130200,1302,Census Tract 1302,"1,352,655",0,West Roxbury,West Roxbury
25,025,130100,25025130100,1301,Census Tract 1301,"4,344,387","45,805",West Roxbury,West Roxbury
25,025,110601,25025110601,1106.01,Census Tract 1106.01,"1,406,583","8,282",West Roxbury,West Roxbury
25,025,130404,25025130404,1304.04,Census Tract 1304.04,"1,602,605","35,273",West Roxbury,West Roxbury
25,025,130406,25025130406,1304.06,Census Tract 1304.06,"1,048,780","5,879",West Roxbury,West Roxbury
25,025,990101,25025990101,9901.01,Census Tract 9901.01,0,"134,592,489",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Note: For our 2010 Census reports, Planning Districts and Neighborhoods were defined by Census Blocks.  However, the vast majority of ACS data are only available at the Tract level.  ",,,,,,,,,
"When Census Tracts were split by Planning District or Neighborhood boundaries, 2010 Census Block data were consulted.  In each case, the Census Tract was assigned to the Planning District ",,,,,,,,,
or Neighborhood where the higher concentration of residents lived at the Block level in 2010.  Census Tract 981502 (highlighted above) is partially in East Boston and partially in Revere.  When  ,,,,,,,,,
"aggregating ACS data for the American Fact Finder website, the Census Bureau assigned the entire population of this tract to Revere.  As a result, we exclude tract 981502 from our aggregations of ACS data ",,,,,,,,,
"for East Boston.  Census Tract 990101 is unassigned to a Planning District or Neighborhood.  As a result, the aggregate of all Planning District and Neighborhood data may not equal the total for Boston.",,,,,,,,,
